Date	Value
6/10/2011	113.45
6/9/2011	113.43
6/8/2011	111.93
6/7/2011	110.66
6/6/2011	110.09
6/3/2011	110.44
6/2/2011	109.91
6/1/2011	111.44
5/31/2011	111.2
5/30/2011	109.59
5/27/2011	110.27
5/26/2011	109.83
5/25/2011	107.99
5/24/2011	107.3
5/23/2011	105.46
5/20/2011	107.42
5/19/2011	107.88
5/18/2011	107.4
5/17/2011	106.6
5/16/2011	107.79
5/13/2011	108.93
5/12/2011	107.19
5/11/2011	111.35
5/10/2011	111.48
5/9/2011	108.08
5/6/2011	104.4
5/5/2011	112.8
5/4/2011	116.96
5/3/2011	118.75
5/2/2011	119.9
4/29/2011	120.35
4/28/2011	120.91
4/27/2011	119.35
4/26/2011	118.96
4/25/2011	119.38
4/21/2011	119.46
4/20/2011	117.97
4/19/2011	116
4/18/2011	117.37
4/15/2011	117.99
4/14/2011	118.03
4/13/2011	116.84
4/12/2011	117.68
4/11/2011	120.44
4/8/2011	120.15
4/7/2011	117.79
4/6/2011	117.75
4/5/2011	116.73
4/4/2011	115.21
4/1/2011	113.49
3/31/2011	111.42
3/30/2011	110.18
3/29/2011	109.87
3/28/2011	110.37
3/25/2011	110.91
3/24/2011	110.81
3/23/2011	111.09
3/22/2011	110.23
3/21/2011	110.1
3/18/2011	110.54
3/17/2011	108.08
3/16/2011	105.8
3/15/2011	106.56
3/14/2011	107.87
3/11/2011	109.18
3/10/2011	110.71
3/9/2011	109.96
3/8/2011	109.55
3/7/2011	112.03
3/4/2011	111.42
3/3/2011	110.48
3/2/2011	110.83
3/1/2011	108.27
2/28/2011	108.5
2/25/2011	108.31
2/24/2011	111.01
2/23/2011	105.88
2/22/2011	104.01
2/21/2011	100.59
2/18/2011	99.08
2/17/2011	99.77
2/16/2011	98.68
2/15/2011	99
2/14/2011	98.24
2/11/2011	97.37
2/10/2011	97.59
2/9/2011	96.93
2/8/2011	96.12
2/7/2011	96.02
2/4/2011	96.85
2/3/2011	97.71
2/2/2011	97.66
2/1/2011	96.39
1/31/2011	95.53
1/28/2011	94.1
1/27/2011	93.42
1/26/2011	92.58
1/25/2011	91.8
1/24/2011	93.2
1/21/2011	92.9
1/20/2011	92.95
1/19/2011	93.99
1/18/2011	93.8
1/17/2011	93.72
1/14/2011	94.04
1/13/2011	93.96
1/12/2011	94.23
1/11/2011	92.92
1/10/2011	91.33
1/7/2011	90.83
1/6/2011	92.06
1/5/2011	90.91
1/4/2011	91.28
1/3/2011	89.81
12/31/2010	88.99
12/30/2010	89.47
12/29/2010	90.22
12/28/2010	90.08
12/27/2010	90.67
12/24/2010	90.73
12/23/2010	90.16
12/22/2010	90.02
12/21/2010	89.54
12/20/2010	88.59
12/17/2010	88.78
12/16/2010	88.76
12/15/2010	88.22
12/14/2010	88.21
12/13/2010	87.96
12/10/2010	87.65
12/9/2010	87.91
12/8/2010	87.46
12/7/2010	87.87
12/6/2010	88.13
12/3/2010	87.12
12/2/2010	86.13
12/1/2010	84.13
11/30/2010	83.65
11/29/2010	83.45
11/26/2010	82.34
11/25/2010	82.55
11/24/2010	81.16
11/23/2010	80.14
11/22/2010	80.96
11/19/2010	81.41
11/18/2010	81.09
11/17/2010	81.9
11/16/2010	82.35
11/15/2010	83.39
11/12/2010	83.67
11/11/2010	85.81
11/10/2010	85.27
11/9/2010	84.92
11/8/2010	84.62
11/5/2010	84.33
11/4/2010	84.33
11/3/2010	82.56
11/2/2010	81.9
11/1/2010	80.55
10/29/2010	79.42
10/28/2010	79.92
10/27/2010	79.19
10/26/2010	79.75
10/25/2010	80.03
10/22/2010	78.54
10/21/2010	79.26
10/20/2010	78.71
10/19/2010	79.25
10/18/2010	79
10/15/2010	79.86
10/14/2010	80.95
10/13/2010	80.9
10/12/2010	79.64
10/11/2010	80.44
10/8/2010	79.95
10/7/2010	81.07
10/6/2010	81.51
10/5/2010	80.14
10/4/2010	79.95
10/1/2010	79.52
9/30/2010	77.48
9/29/2010	75.74
9/28/2010	74.87
9/27/2010	75.06
9/24/2010	75.01
9/23/2010	74.28
9/22/2010	74.41
9/21/2010	75.34
9/20/2010	75.26
9/17/2010	74.95
9/16/2010	75.49
9/15/2010	75.37
9/14/2010	75.54
9/13/2010	75.06
9/10/2010	74.66
9/9/2010	74.48
9/8/2010	74.04
9/7/2010	73.03
9/6/2010	73.46
9/3/2010	73.05
9/2/2010	72.89
9/1/2010	72.49
8/31/2010	72.39
8/30/2010	73.05
8/27/2010	72.36
8/26/2010	71.4
8/25/2010	70
8/24/2010	69.69
8/23/2010	70.93
8/20/2010	71.78
8/19/2010	73.03
8/18/2010	73.05
8/17/2010	73.25
8/16/2010	72.27
8/13/2010	72.64
8/12/2010	73.73
8/11/2010	75.4
8/10/2010	76.87
8/9/2010	78.28
8/6/2010	78.15
8/5/2010	78.69
8/4/2010	78.88
8/3/2010	78.41
8/2/2010	77.09
7/30/2010	74.43
7/29/2010	74.19
7/28/2010	73.26
7/27/2010	73.95
7/26/2010	74.22
7/23/2010	74.44
7/22/2010	73.47
7/21/2010	73.16
7/20/2010	73.16
7/19/2010	72.94
7/16/2010	72.89
7/15/2010	73.26
7/14/2010	73.93
7/13/2010	72.58
7/12/2010	72
7/9/2010	72.79
7/8/2010	71.86
7/7/2010	69.74
7/6/2010	69.73
7/5/2010	69.05
7/2/2010	69.63
7/1/2010	70.48
6/30/2010	72.49
6/29/2010	72.66
6/28/2010	74.77
6/25/2010	73.8
6/24/2010	72.9
6/23/2010	74.06
6/22/2010	75.09
6/21/2010	75.94
6/18/2010	75.11
6/17/2010	75.21
6/16/2010	74.13
6/15/2010	73.14
6/14/2010	73.32
6/11/2010	72.26
6/10/2010	72.18
6/9/2010	71.05
6/8/2010	70.08
6/7/2010	69.61
6/4/2010	72.06
6/3/2010	72.84
6/2/2010	71.13
6/1/2010	70.96
5/31/2010	71.88
5/28/2010	70.62
5/27/2010	70.48
5/26/2010	68.21
5/25/2010	66.84
5/24/2010	68.59
5/21/2010	68.47
5/20/2010	69.64
5/19/2010	70.57
5/18/2010	72.77
5/17/2010	73.25
5/14/2010	75.95
5/13/2010	78.43
5/12/2010	78.29
5/11/2010	77.53
5/10/2010	78.08
5/7/2010	76.41
5/6/2010	78.52
5/5/2010	81.12
5/4/2010	84.16
5/3/2010	84.36
4/30/2010	84.13
4/29/2010	83.59
4/28/2010	82.13
4/27/2010	83.03
4/26/2010	83.91
4/23/2010	83.01
4/22/2010	82.36
4/21/2010	82.01
4/20/2010	81.83
4/19/2010	80.89
4/16/2010	82.86
4/15/2010	83.28
4/14/2010	82.63
4/13/2010	81.52
4/12/2010	82.2
4/9/2010	81.97
4/8/2010	81.6
4/7/2010	82.36
4/6/2010	82.55
4/5/2010	81.27
4/1/2010	79.89
3/31/2010	78.7
3/30/2010	78.21
3/29/2010	77.77
